,age,anagrams1,anagrams2,anagrams3,anagrams4,backcount1,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,backcount10,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,highpower,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04
32,20,,,,,1,1,1,1,1,1,1,1,1,1,6.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,5.0,1,"[-0.04280662 -0.02440558  0.00510792 -0.06998665 -0.0223426  -0.04559301
 -0.03881547  0.01678625  0.06691817 -0.01744886]",3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0
33,18,2,3,2,3,1,1,1,1,1,1,1,1,1,1,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,1,"[-0.07047408  0.02523436 -0.00293303 -0.1681737   0.00877761  0.02979369
 -0.08483711  0.02722157  0.03792512 -0.08199992]",2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,3.0,4.0,2.0,4.0
34,18,,,,,1,0,1,1,1,1,0,0,0,0,6.0,4.0,5.0,4.0,7.0,3.0,6.0,1.0,6.0,2.0,4.0,5.0,5.0,5.0,6.0,1,"[-0.10048089  0.11452703  0.04860976 -0.16410049 -0.01624074  0.02604913
 -0.04051692  0.12699369  0.06972533 -0.06345777]",2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0
35,18,5,4,,,1,1,1,1,1,1,1,1,1,1,2.0,5.0,6.0,4.0,7.0,2.0,5.0,2.0,6.0,2.0,7.0,3.0,1.0,5.0,6.0,1,"[-0.02029053  0.05236582 -0.00228864 -0.09169279  0.00325508  0.02281559
 -0.00773678  0.07257852  0.01713472 -0.0830847 ]",2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,6.0,1.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0
36,18,,,,,1,1,1,1,1,1,1,1,1,1,7.0,2.0,6.0,5.0,6.0,2.0,6.0,1.0,4.0,2.0,6.0,5.0,4.0,4.0,6.0,1,"[-0.09492333  0.01973668 -0.00127481 -0.09676651 -0.05664313 -0.01943807
  0.02132927  0.04712043 -0.10106036 -0.08096569]",3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0
37,19,5,4,,,1,1,1,1,1,1,1,1,1,1,6.0,7.0,6.0,6.0,7.0,5.0,6.0,1.0,6.0,1.0,8.0,7.0,7.0,6.0,7.0,1,"[-0.02168243  0.00037488  0.0242509  -0.07190752  0.01182371 -0.03351134
  0.04840522  0.04835123  0.08848821 -0.01764275]",2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,3.0
38,18,5,,,,1,0,1,1,1,1,0,0,0,0,6.0,2.0,6.0,2.0,5.0,5.0,6.0,1.0,6.0,3.0,9.0,7.0,9.0,8.0,8.0,1,"[-0.09745933 -0.00792855  0.0173851  -0.13849853 -0.00303593  0.00888328
 -0.0095302   0.02068093  0.04889467 -0.02731114]",2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,4.0,2.0
39,19,5,2,4,4,1,1,1,1,1,1,1,1,1,1,6.0,5.0,7.0,3.0,6.0,1.0,7.0,2.0,5.0,4.0,7.0,5.0,6.0,4.0,4.0,2,,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0
40,21,5,4,,,1,1,1,1,1,1,1,1,1,1,3.0,4.0,6.0,2.0,5.0,6.0,7.0,2.0,5.0,1.0,6.0,6.0,3.0,5.0,6.0,1,,2.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0
41,18,,,,,1,1,1,1,1,1,1,1,1,1,3.0,1.0,6.0,1.0,6.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,7.0,7.0,5.0,1,"[-0.10260851  0.02919049 -0.000382   -0.1576574   0.00156629  0.01810427
 -0.03032589  0.10145371  0.04688801 -0.02514748]",3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,7.0,4.0,4.0,4.0,2.0
